BO Iteration,Selected SMILES,True f,UCB+nov,eta_t,novelty_mean,novelty_std,ucb_low,ucb_high,novz_low,novz_high
13,COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(NCC(N)=O)C3=O)N1CC1NC12,0.4491,0.6619,0.0668,0.8185,0.0434,0.2527,0.7162,-15.805,3.445
14,CC(C)C(=O)OCC1OC(n2ccc(N)nc2=O)C(C)(F)C1OC(=O)C(C)C,0.4258,0.6714,0.0645,0.8184,0.0439,0.2524,0.7156,-15.627,3.412
15,CCC(CC)C(=O)N1CC(C(=O)O)C(N)C(O)C1NC(C)=O,0.4581,0.6703,0.0625,0.8182,0.0438,0.2519,0.7149,-15.645,3.42
16,CC(C)C1=CC2CC3(C=O)C4CCC(C)C4CC2(CCOC(=O)c2cc[n+]([O-])cc2)C13C(=O)O,0.6356,0.6757,0.0606,0.8181,0.0437,0.2511,0.7182,-15.689,3.434
17,COCCC1(C(=O)NC(Cc2ccc(-c3cn(C)c(=O)n(C)c3=O)c(C)c2)C(=O)O)CCCC1,0.6369,0.6902,0.0589,0.8179,0.0436,0.2513,0.7649,-15.692,3.44
18,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(NC(=O)C3CCC(C(=O)O)O3)c3ccccc3)C2SC1,0.5642,0.702,0.0574,0.8168,0.043,0.2522,0.7723,-15.901,3.501
19,C=CCSCC(NC(C)=O)C(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O,0.5598,0.7122,0.0559,0.8163,0.0431,0.2554,0.7811,-15.856,3.505
20,CC1CN(C(C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2OC1CN(C)Cc1ccc(C(=O)O)cc1,0.6452,0.7203,0.0546,0.8162,0.0434,0.2547,0.7847,-15.751,3.487
21,CCC(C(=O)C(C)C(O)C(C)CCc1c(N)cc(C)c(O)c1C(=O)O)C1OC(CC)(C2CCC(O)(CC)C(C)O2)CC1C,0.3921,0.7245,0.0533,0.8147,0.0439,0.2563,0.7905,-15.529,3.478
22,COc1ccc(N2CC(C(=O)NC(CC(C)C)C(=O)NC3CCCC3)CC2=O)cc1,0.587,0.7233,0.0521,0.8147,0.0439,0.2563,0.7906,-15.531,3.48
23,CCOC(=O)C=CC(CC1CCNC1=O)NC(=O)C(Cc1ccc(F)cc1)OC(=O)C(NC(=O)c1cc(C)on1)C(C)C,0.5495,0.7298,0.051,0.8128,0.044,0.2585,0.7913,-15.453,3.514
24,CC(CCC(=O)NC(CCC(=O)Nc1ccc(F)cc1F)C(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,0.3705,0.7324,0.05,0.8125,0.0441,0.258,0.793,-15.407,3.477
25,CCOC(=O)C1C(=O)CC(C)(O)C(C(=O)OCC)C1c1cc(Br)ccc1OC,0.5482,0.73,0.049,0.8121,0.0442,0.2582,0.7922,-15.357,3.477
26,C=C(C(=O)OC1CC(C)=C(O)CCC(CO)=CC2OC(=O)C(=C)C21)C(O)COC(C)=O,0.526,0.7354,0.0481,0.8118,0.0441,0.2581,0.7948,-15.387,3.494
27,CC(=O)OC(CC1=C(O)C(=O)OC1)C1(C)C2CCC=C(C)C2(C)C(OC(=O)c2cccnc2)C(O)C1(C)O,0.5699,0.7388,0.0472,0.8117,0.0441,0.2576,0.7966,-15.392,3.497
28,CCOCC(NC(=O)C1CNCC(C(=O)N(c2ccc(C(C)C)cn2)C2CC2)C1O)C(C)C,0.6004,0.7402,0.0464,0.8116,0.0441,0.2576,0.7989,-15.405,3.504
29,CCCCCC1C(=O)OC(C)C(NC(=O)c2cccc(NC=O)c2O)C(=O)OC(C)C1OC(=O)CC(C)C,0.5448,0.7447,0.0456,0.8115,0.044,0.2572,0.8003,-15.414,3.507
30,CCC(NC(=O)N1CC(=O)NCC(Cc2cc(Cl)ccc2OC)C1=O)C(=O)NC(C)C(=O)O,0.547,0.7471,0.0449,0.8114,0.044,0.2571,0.8023,-15.432,3.515
31,COC1CC2C(C)(COC(=O)CCC(=O)O)CCCC2(C)c2ccc(C(C)C)cc21,0.2902,0.7478,0.0442,0.8112,0.0439,0.2573,0.8025,-15.445,3.522
32,CC(C)C(N)C(=O)NC(C(=O)O)C1OC(n2ccc(=O)[nH]c2=O)C(O)C1O,0.4324,0.7482,0.0435,0.8111,0.0439,0.258,0.7986,-15.449,3.527
33,Cc1cn(CC2CC(N=[N+]=[N-])C(COC(=O)C(=O)NC(Cc3ccc(O)cc3)C(=O)O)O2)c(=O)[nH]c1=O,0.5594,0.7466,0.0429,0.811,0.0441,0.2582,0.7987,-15.391,3.517
34,CCCCC(NC(=O)C=C(C)c1ccc(OP(=O)(O)O)cc1)C(=O)N1CC2CC2C1C(=O)NCCOC(N)=O,0.6264,0.7436,0.0423,0.8109,0.0441,0.2586,0.7987,-15.372,3.515
35,CCOC(=O)C(C)NP(=O)(OCC1OC(O)C(NC(C)=O)C(O)C1O)Oc1ccc(OC)cc1,0.4964,0.7537,0.0417,0.8107,0.0441,0.2584,0.797,-15.377,3.52
36,CC(Cc1ccc(C(=O)Oc2ccc(C(=N)N)cc2)o1)C(=O)NC(CO)C(=O)O,0.5694,0.7471,0.0411,0.8106,0.0442,0.2583,0.797,-15.345,3.516
37,COc1ccc2c(c1)cc(C(=O)NC(CCSC)C(=O)N1CCCC1C(=O)O)n2C,0.6279,0.7486,0.0406,0.8102,0.0444,0.2595,0.7991,-15.263,3.508
38,Cc1oc(=O)oc1COC(=O)c1cccc(NC(=O)C2CC(SC3=C(C(=O)O)N4C(=O)C(C(C)O)C4C3C)CN2)c1,0.5567,0.7508,0.04,0.81,0.0444,0.2604,0.8024,-15.248,3.513
39,CCOC(=O)c1c(NC(=O)C2C3CCC(O3)C2C(=O)O)sc(C)c1-c1ccc(F)cc1,0.5537,0.7531,0.0395,0.8099,0.0445,0.2602,0.8027,-15.219,3.508
40,COC(=O)C(CC(C)C)NC(=O)NC(Cc1cccc(O)c1)C(=O)O,0.5389,0.7526,0.039,0.8096,0.0445,0.2599,0.805,-15.199,3.511
41,CC(Oc1ccc2ccc(=O)oc2c1)C(=O)NCC1CCC(C(=O)O)CC1,0.644,0.7509,0.0386,0.8092,0.0447,0.2597,0.8064,-15.113,3.503
42,COC(=O)c1ccc2[nH]c(=O)c3cc(CC(C#N)NC(=O)C4NC5CCC4C5)ccc3c2c1,0.5923,0.7565,0.0381,0.8089,0.0448,0.2608,0.8103,-15.102,3.509
43,CCCCCc1ccc(-c2cc3cn(C4CC(O)C(COC(=O)C(NC(=O)C5CCCN5C(=O)C(N)CC(N)=O)C(C)C)O4)c(=O)nc3o2)cc1,0.6117,0.7564,0.0377,0.8086,0.0448,0.2621,0.8135,-15.071,3.508
44,CC(CS)C(=O)N1C(SCCCc2ccc(C(C)C)cc2)CCC1C(=O)O,0.1058,0.7608,0.0373,0.8085,0.0448,0.2618,0.8235,-15.068,3.511
45,CCCNc1cc(C(=O)NC2CC3CCC(C2)N3c2ccc(C(=O)C3CC3)cn2)c(C)cc1C(N)=O,0.6127,0.7545,0.0369,0.8084,0.0448,0.2625,0.8138,-15.067,3.513
46,CCC(Cc1cc(CNC(=O)c2ccc(C34CC5CC(CC(C5)C3)C4)cc2)c(OC)cc1F)C(=O)O,0.2574,0.7629,0.0365,0.8081,0.0447,0.2628,0.8141,-15.109,3.532
47,C=C1C(O)C(CO)OC1n1ccc(NC(=O)OC(C)C(NC(=O)C(CC2CCCCC2)NC)C(=O)O)nc1=O,0.5407,0.755,0.0361,0.8076,0.0448,0.2616,0.8123,-15.071,3.536
48,COc1cc2c(cc1OC)C(C(=O)NC1CC(=O)OC1O)N(C(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(NC(C)=O)C(C)C)C(C)C)CC2,0.5152,0.7556,0.0357,0.8075,0.0448,0.2615,0.8137,-15.062,3.537
49,Cc1[nH]c2ccccc2c1CC(NC(=O)C(NC(=O)N1C(C)CCCC1C)C1CC1)C(=O)NC(Cc1c[nH]cn1)C(=O)O,0.5722,0.7535,0.0354,0.8074,0.0448,0.2611,0.8142,-15.047,3.536
50,COc1ccc2[nH]cc(CCNC(=O)C3CCCCNC(=O)OCCCC(C(=O)NO)C(CC(C)C)C(=O)N3)c2c1,0.5846,0.7524,0.035,0.8072,0.0449,0.2615,0.8169,-15.025,3.536
51,CC(C)CC1NC(=O)C(NC(=O)C(N)Cc2ccc(O)cc2)CCCNC(=O)CC(C(N)=O)NC1=O,0.5596,0.7544,0.0347,0.8071,0.0449,0.2619,0.8153,-15.027,3.539
52,COc1cccc(CNCC(O)C(Cc2cc(F)cc(F)c2)NC(=O)C(C)N2CCC(CC3CC3)(NC(C)=O)C2=O)c1,0.6191,0.7534,0.0343,0.807,0.0449,0.2618,0.8185,-14.998,3.535
53,C=CC1(C)CC(OC(=O)N2Cc3c(NC(=O)C(N)C(C)C)cccc3C2=O)C2(C)C(C)CCC3(CCC(=O)C32)C(C)C1O,0.4755,0.7564,0.034,0.8067,0.045,0.263,0.8185,-14.968,3.536
54,COC(=O)C12CC(CC(=O)NCCC(C)C)C(=O)N(Cc3cccc4ccccc34)C1=CC(C(C)C)OC2C1CC1,0.3914,0.7554,0.0337,0.8067,0.0451,0.263,0.8185,-14.94,3.531
55,CC(C(=O)OCC(=O)c1cccc([N+](=O)[O-])c1)N1C(=O)C2C3C=CC(C3)C2C1=O,0.5532,0.7535,0.0334,0.8063,0.0452,0.2622,0.8192,-14.895,3.531
56,CCOC(=O)C1CCN(C(=O)COC(=O)c2ccc3c(c2)C(=O)N(c2ccc(OCC)cc2)C3=O)CC1,0.6391,0.7535,0.0331,0.8061,0.0453,0.2629,0.8185,-14.864,3.528
57,CC(=O)Oc1cccc2c1C(=O)c1c(OC(C)=O)cc(C(=O)NC3CCCC3)cc1C2=O,0.5687,0.7623,0.0328,0.8052,0.0455,0.2642,0.8176,-14.779,3.533
58,C=C1C(=O)OC2CC(C)=C(C(C)CCCOC(C)=O)C(OC(=O)COc3cccc(C(C)=O)c3)C12,0.545,0.762,0.0325,0.805,0.0455,0.2636,0.8215,-14.769,3.537
59,COC(=O)c1c(C)[nH]c(C(=O)C(C)OC(=O)C2CC(=O)N(CCc3ccccc3)C2)c1C,0.5611,0.7624,0.0323,0.8049,0.0455,0.2637,0.8235,-14.769,3.538
60,CC(=O)NC(Cc1ccc(OP(=O)(O)O)cc1)C(=O)NC1CCCCN(Cc2ccc(C(C)(C)C)cc2)C1=O,0.6729,0.7634,0.032,0.8043,0.0456,0.2645,0.8253,-14.72,3.542
61,COc1cccc(CC(C)(C)NC(=O)C(CC2CCCCC2)NC(=O)C(NC(=O)C(N)CNC(=O)c2cc(O)ccc2O)C(C)C)c1,0.6065,0.7676,0.0318,0.8039,0.0459,0.2665,0.8303,-14.616,3.529
62,COCC(=O)NC(C(=O)N1NCCCC1C(=O)NC(Cc1ccccc1)C(O)C(C)C(=O)NC1CCN(C(N)=O)C1=O)C(O)C(C)C,0.5883,0.7706,0.0315,0.8038,0.0461,0.2668,0.831,-14.566,3.52
63,CC(C)CC(NC(=O)C(NC(=O)COc1ccc2c(c1)Nc1ccccc1S2)C(C)O)C(=O)NC1CCOC1O,0.5949,0.7729,0.0312,0.8037,0.0461,0.267,0.8319,-14.537,3.516
64,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NC(Cc1ccc(O)cc1)C(=O)NC(Cc1ccc(O)cc1)C(=O)O)C(C)C,0.599,0.7734,0.031,0.8036,0.0461,0.2676,0.8339,-14.533,3.516
65,COC(=O)C1CCCN(C(=O)C(Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2c(C(C)C)cc(C(C)C)cc2C(C)C)C1,0.5608,0.7744,0.0308,0.8033,0.0468,0.2677,0.8326,-14.661,3.473
66,CC(C)CC(NC(=O)C1OC1C(=O)O)C(=O)N1CCCC1C(=O)OCc1ccccc1,0.6074,0.7746,0.0305,0.8032,0.0469,0.2678,0.833,-14.627,3.467
67,COC(=O)C=Cc1cn(C2CC(O)C(COP(=O)(NC(C(=O)OC3CCCCC3)C(C)C)Oc3ccccc3)O2)c(=O)[nH]c1=O,0.5831,0.776,0.0303,0.8028,0.0472,0.2679,0.8323,-14.52,3.452
68,COc1cccc2cc(C(=O)NC(CC(C)C)C(=O)NC3CCC(C)N(C(=O)Nc4ccncc4)CC3=O)oc12,0.6021,0.7753,0.0301,0.8028,0.0473,0.2681,0.8335,-14.488,3.446
69,CCOC(=O)C(Cc1ccc(OC(C)=O)cc1)NC(=O)C1(NC(=O)C(SC(C)=O)C(C)C)CCCC1,0.5856,0.7746,0.0299,0.8027,0.0474,0.2683,0.8333,-14.482,3.447
70,O=C(Oc1ccc(CC(NC(=O)C2CCCN2S(=O)(=O)c2cc(Cl)cc(Cl)c2)C(=O)O)cc1)C1CCCC1,0.6458,0.7775,0.0297,0.8026,0.0476,0.268,0.8338,-14.419,3.433
71,CCCOc1ccc(NC(=O)N2CCCC2C(=O)N2CCC3C2C(C)C(=O)N3C(=O)C2CC2)cc1,0.6068,0.7796,0.0295,0.8022,0.0477,0.2685,0.8415,-14.371,3.434
72,CCC1OCC(=O)C1NC(=O)C(CC1(C)CCCC1)NC(=O)c1cccc(S(=O)(=O)NC)c1,0.6048,0.7789,0.0293,0.802,0.0477,0.2686,0.8452,-14.364,3.436
73,CCCOc1ccc(S(=O)(=O)N2CC(NC(=O)C(C)O)CC2C(=O)NO)cc1,0.5297,0.7835,0.0291,0.8019,0.0477,0.268,0.8468,-14.365,3.438
74,COC(=O)C(NC(=O)c1cnc(NC(=O)C(CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)s1)C(C)C,0.6024,0.7813,0.0289,0.8017,0.0478,0.268,0.8468,-14.327,3.436
75,CC(=O)NC(C(=O)OC(C)C1C(=O)N2C(C(=O)OCc3ccc([N+](=O)[O-])cc3)=CSC12)C(C)C,0.5068,0.7836,0.0287,0.8015,0.0478,0.2681,0.8469,-14.311,3.436
76,CCOC(=O)c1ccc(NC(=O)C2CCC(CNc3c(N4CCOCC4)c(=O)c3=O)CC2)cc1,0.6083,0.782,0.0285,0.8015,0.0479,0.2682,0.8466,-14.307,3.436
77,CCC(C)C(NC(C)=O)C(=O)N1C(C(=O)NCc2ccc(C(=N)N)cc2)CC2CCCCC21,0.6041,0.7833,0.0283,0.8006,0.0478,0.2685,0.8482,-14.311,3.46
78,Cc1cc(C)cc(NC(=O)Cc2ccc(OC3(C(=O)NC(CO)C(=O)O)CCCC3)cc2)c1,0.6503,0.7814,0.0281,0.8006,0.0478,0.268,0.8522,-14.294,3.457
79,COC(=O)c1cccc(NC(=O)NC2CC(C3CCCCC3)c3ccc(C)cc3N(CC(=O)NC(C)(C)C)C2=O)c1,0.4943,0.7843,0.028,0.8003,0.0479,0.2682,0.8522,-14.27,3.459
80,CCOc1ccc(NC(=O)N2CCC(NC(=O)C(Cc3ccccc3OC)NC(C)=O)CC2)cc1,0.6504,0.7831,0.0278,0.8001,0.0479,0.2682,0.8521,-14.252,3.458
81,CSCCC(NS(=O)(=O)c1ccc(C)cc1)C(=O)N1CCC(C(=O)NC(C)C(=O)O)CC1,0.6184,0.7842,0.0276,0.7992,0.0485,0.2687,0.8521,-14.073,3.439
82,Cc1ccc(S(=O)(=O)N2CCC(C(=O)OCC(=O)NC(C)c3ccc(F)cc3)CC2)cc1C,0.6297,0.789,0.0274,0.7989,0.0486,0.2683,0.8537,-14.024,3.433
83,CC(OC(=O)C1CCCC1)C(=O)Nc1ccc(C(N)=O)cc1,0.5644,0.7867,0.0273,0.7978,0.0491,0.2685,0.8537,-13.855,3.422
84,Cc1cc(=O)oc2cc(OCC(=O)OC(C)C(=O)NC3CCCC3)ccc12,0.5793,0.7856,0.0271,0.7975,0.0493,0.2685,0.8543,-13.816,3.418
85,CCOCC(NC(=O)c1ccc(Cl)s1)C(=O)Nc1ccc(N2CCOCC2=O)c(C)c1,0.5806,0.7847,0.027,0.7973,0.0494,0.2684,0.8542,-13.782,3.416
86,Cc1cc(C)cc(CC(=O)N2CCN(c3ccc(C(=O)NC(C(N)=O)C(C)O)cn3)CC2)c1,0.6279,0.7857,0.0268,0.7971,0.0494,0.2685,0.8542,-13.776,3.419
87,CCC(C)C(NC(=O)c1ccc(NC(=O)C(N)C(C)C)c(OCc2c[nH]cn2)c1)C(=O)O,0.5368,0.788,0.0267,0.7965,0.0493,0.2683,0.8555,-13.779,3.434
88,CCCCCC(=O)NC(CNC(=O)c1ccc2c(c1)C(=O)N(CCC1CCNCC1)C2)C(=O)O,0.634,0.7875,0.0265,0.7964,0.0493,0.2682,0.855,-13.782,3.437
89,O=C(O)c1cc(NC(=O)c2ccc3c(c2)C(=O)N(CC2CCCO2)C3=O)cc(C(=O)O)c1,0.6105,0.7893,0.0264,0.7963,0.0493,0.2681,0.8594,-13.794,3.444
90,CN1c2c([nH]c(N)nc2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,0.5583,0.7917,0.0262,0.7961,0.0493,0.268,0.8601,-13.787,3.447
91,CCCC(=O)Oc1ccc(NC(C)=C2C(=O)OC(=O)C(C(C)=O)=C2O)cc1,0.5034,0.7901,0.0261,0.796,0.0495,0.2684,0.8608,-13.728,3.436
92,Cc1ccc(-c2cc(C(=O)NC(C)CO)cc(N(C)C(=O)C3CCCC3)c2)cc1,0.3336,0.7901,0.0259,0.7958,0.0495,0.2683,0.8608,-13.707,3.434
93,CCCCC(C(=O)Nc1ccc2c(C)c(CC(=O)O)c(=O)oc2c1)n1cc(C(C)(NC(=O)c2ccsc2)C2CCC(C)CC2)nn1,0.2753,0.7878,0.0258,0.7955,0.0495,0.2699,0.8612,-13.703,3.44
94,NC(=O)C1CCCN1C(=O)C(Cc1ccc(O)cc1)NC(=O)C1CCC(=O)N1,0.5752,0.7873,0.0256,0.7955,0.0495,0.2696,0.8618,-13.705,3.441
95,CC(C)CC(C(=O)N1CCOCC1)C(CN1C(=O)c2ccccc2C1=O)C(=O)NO,0.6073,0.7862,0.0255,0.7955,0.0496,0.2696,0.8505,-13.688,3.438
96,CCOC(=O)CN1C(=O)CCC(NC(=O)C(N)Cc2c[nH]c3ccccc23)C1=O,0.5663,0.7885,0.0254,0.795,0.0497,0.2694,0.8512,-13.649,3.44
97,COC(=O)C(NC(=O)C1CC(N)CN1C(=O)Nc1cn(C(N)=O)c2ccccc12)C(C)C,0.5571,0.7902,0.0253,0.7946,0.0499,0.2697,0.8533,-13.589,3.436
98,CC(NC(=O)COC(=O)CN1C(=O)C2CCCCC2C1=O)c1ccccc1,0.564,0.79,0.0251,0.7945,0.0499,0.2699,0.8537,-13.575,3.434
99,CCOC(=O)c1c(NC(=O)NC(Cc2ccccc2)C(=O)OC)sc2c1CCN(C(C)=O)C2,0.5241,0.7892,0.025,0.7942,0.05,0.2699,0.8537,-13.535,3.431
100,CC(NC(=O)C1=C2c3ccccc3S(=O)(=O)N2CCC1)C(=O)NC(CCC(=O)O)C(N)=O,0.5745,0.7879,0.0249,0.794,0.0502,0.2698,0.8508,-13.489,3.425
101,CC(C)NC(=O)NC(=O)COC(=O)c1cccc(S(=O)(=O)N2CCCCC2)c1,0.5841,0.7874,0.0248,0.794,0.0502,0.2699,0.8515,-13.486,3.425
102,CNC(=O)C(Cc1ccc(OC)cc1)NC(=O)C1(NC(CCN2C(=O)c3cc4ccccc4cc3C2=O)C(=O)O)CCCCC1,0.6669,0.7869,0.0246,0.7935,0.0506,0.2697,0.8514,-13.373,3.408
103,COc1ccc(S(=O)(=O)N2Cc3ccccc3CC2C(=O)NC(CCC(=O)O)C(=O)O)cc1OC,0.6158,0.7903,0.0245,0.7933,0.0506,0.2715,0.8558,-13.358,3.409
104,COc1cccc(C(=O)CN2CCCCC2C(=O)NC(Cc2ccccc2)C(=O)NC(C=CI)C(C)C)c1,0.6398,0.7896,0.0244,0.793,0.0508,0.271,0.8544,-13.322,3.406
105,CCC(C)C(NC(=O)C1Cc2c([nH]c3ccccc23)C2c3ccccc3C(=O)N12)C(=O)N1CCCC1C(=O)O,0.6091,0.7919,0.0243,0.7928,0.0509,0.2724,0.8555,-13.273,3.4
106,COc1ccc(CC(NC(=O)C(C)NC(=O)C2=C(C)c3ccccc3C2)C(=O)NC(CC2CCCCC2)C(=O)C2(C)CO2)cc1,0.5987,0.7927,0.0242,0.7925,0.0509,0.2739,0.8561,-13.266,3.405
107,CCCC(NC(=O)C1CC(OCc2ccccc2)CN1C(=O)C(NC(=O)C(NC(C)=O)C1CCCCC1)C(C)C)C(=O)O,0.5691,0.79,0.0241,0.7925,0.051,0.274,0.8563,-13.252,3.402
108,Cc1cc(C)c(NC(=O)C2CCCN2CCOC(=O)c2cccc([N+](=O)[O-])c2)c(C)c1,0.6644,0.7891,0.0239,0.7924,0.0511,0.274,0.8559,-13.227,3.398
109,CCOC(=O)c1c(C)[nH]c(C)c1C(=O)COC(=O)C1CCCN1S(=O)(=O)c1ccccc1F,0.5435,0.7895,0.0238,0.7922,0.0511,0.2742,0.8578,-13.222,3.402
110,CNC(=O)C1CCN(c2cc3c(=O)[nH]c(-c4cc(CNC(=O)C(C)C)ccc4Cl)nc3cc2Cl)CC1,0.5798,0.7887,0.0237,0.7921,0.0511,0.2742,0.8578,-13.216,3.402
111,Cc1[nH]c(C(Cc2cn(C)c3ccccc23)NC(=O)C(CC(C)C)NC(=O)NC2CCCCC2)nc1C(=O)O,0.5625,0.7909,0.0236,0.7918,0.0509,0.2738,0.8588,-13.251,3.418
112,CCC(NC(=O)C1CC(S(=O)(=O)CC)CN1C(C)=O)C(=O)c1nc2ccccc2o1,0.5386,0.7891,0.0235,0.7917,0.051,0.2738,0.8589,-13.235,3.416
113,COC(=O)C1CCCN1C(=O)c1cccc(Nc2c(NC(c3ccc(C)o3)C3CCCS3)c(=O)c2=O)c1F,0.5715,0.7891,0.0234,0.7917,0.051,0.2739,0.8591,-13.234,3.418
114,COc1cccc(CNC(=O)C2CCCN2C(=O)C2CCCN2C(=O)c2ccc(Cl)cc2)c1,0.5557,0.7929,0.0233,0.7916,0.051,0.2739,0.8616,-13.233,3.418
115,CC(OC(=O)C(C)NC(=O)c1ccccc1)OC(=O)N1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,0.6229,0.7906,0.0232,0.7912,0.0511,0.2739,0.8614,-13.186,3.417
116,CCOC(=O)C(CC(C)C)NC(=O)C1CCn2c(C(=O)c3ccccc3)ccc21,0.4748,0.794,0.0231,0.7908,0.0514,0.2743,0.8599,-13.117,3.408
117,COc1cc(C(=O)N2CCC(C(=O)Nc3cccc(C(C)=O)c3)CC2)cc(OC)c1OC,0.6368,0.791,0.023,0.7907,0.0514,0.2736,0.8596,-13.098,3.407
118,CC(C)C(NC(=O)C1CCN(C(=O)C2CCCN2C(=O)OC(C)(C)C)CC1)C(=O)NCc1ccc(F)cc1,0.564,0.7948,0.0229,0.7898,0.0518,0.2726,0.8597,-12.979,3.397
119,COc1ccc2[nH]c(=O)n(CC3CCC(C(=O)N4CCN(C(C)=O)CC4)CC3)c(=O)c2c1,0.627,0.794,0.0228,0.7897,0.0519,0.2726,0.8597,-12.972,3.398
120,COc1ccc(OC)c(C(=O)NC(CC(N)=O)c2ccc(N3CCC(N4CCCC4)CC3)c([N+](=O)[O-])c2)c1,0.6634,0.7987,0.0227,0.7895,0.0519,0.2729,0.8624,-12.963,3.401
121,COc1ccc(C(=O)C=CC(=O)N2CCN(c3ccc(N4CC(CNC(C)=O)OC4=O)cc3F)CC2)cc1,0.648,0.8012,0.0226,0.7892,0.052,0.2721,0.8727,-14.32,3.397
122,COc1ccc(CNC(=O)C2CCCN(S(=O)(=O)c3ccc4c(c3)CC(C)N4C(C)=O)C2)cc1,0.6431,0.8098,0.0225,0.7888,0.0525,0.2735,0.8767,-14.192,3.376
123,COc1ccc(OC)c(S(=O)(=O)NC2CCCCN(CC(=O)NCc3ccc(C(=N)N)cc3)C2=O)c1,0.6404,0.8106,0.0225,0.7885,0.0528,0.2746,0.8799,-14.088,3.359
124,COc1ccc(C(=O)C=CC(=O)N(CC(=O)NC2CCCCC2)Cc2ccc(F)cc2)c(O)c1,0.691,0.8106,0.0224,0.7883,0.0529,0.2741,0.8795,-14.064,3.357
125,CC(=O)c1cc(CNC(=O)c2ccc(OP(=O)(O)O)cc2)ccc1OCC1CCCCC1,0.6641,0.8151,0.0223,0.7881,0.053,0.2756,0.8828,-14.027,3.353
126,COc1ccc(CN2C(=O)C(CC(=O)NC3CC3)CC(C(=O)N3CCOCC3)=C2C)cc1,0.6156,0.8148,0.0222,0.788,0.0531,0.2758,0.8816,-14.014,3.354
127,CCOC(=O)N1CCN(C(=O)CCC(C(=O)NO)N(Cc2ccc3c(c2)OCO3)S(=O)(=O)c2ccc(OC)cc2)CC1,0.6191,0.8134,0.0221,0.7877,0.0532,0.2762,0.884,-13.978,3.351
128,COc1cc(C(C)=O)ccc1OC(C)C(=O)Nc1ccc(S(=O)(=O)N2CCCC2)cc1,0.5849,0.8111,0.022,0.7872,0.0533,0.2764,0.8851,-13.933,3.351
129,COc1ccc(NC(=O)CN2CCC(NC(=O)c3ccco3)CC2)c([N+](=O)[O-])c1,0.6579,0.8116,0.0219,0.7867,0.0538,0.2764,0.8851,-13.785,3.328
